fid,DN,_count,_sum,_mean,
8,1,1,0.697724223,0.697724223,0.986491416
11,1,1,0.815322101,0.815322101,
12,1,0.675324904,0.56775569,0.840714872,
13,1,7,5.52002418,0.788574883,
19,1,0.212122985,0.176525396,0.832184196,
20,1,11,11.51333028,1.046666389,
21,1,2,1.710586309,0.855293155,
31,1,0.786151053,1.033457391,1.314578652,
32,1,1.288910471,1.699357196,1.318444713,
33,1,5,7.601489186,1.520297837,
53,1,0.531975549,0.324639069,0.610251862,
58,1,0.82737746,1.532775399,1.852570891,
60,1,8,8.616291642,1.077036455,
62,1,1.016831985,1.137032781,1.118211069,
63,1,0.205194315,0.211606148,1.031247616,
66,1,0.229366841,0.262017748,1.142352343,
67,1,8,7.699070036,0.962383755,
71,1,5,4.257026255,0.851405251,
76,1,0.438626622,0.561121914,1.279270082,
79,1,7,9.336000085,1.333714298,
81,1,0.629363991,0.812017721,1.290219543,
87,1,0.42824652,0.631982543,1.475744724,
88,1,0.147313092,0.145918943,0.990536153,
89,1,0.002609365,0.003442763,1.319387317,
90,1,0.224603663,0.271107148,1.207046866,
91,1,0.772986026,1.019867958,1.319387317,
94,1,0.035748407,0.045201807,1.264442563,
95,1,3,2.214947641,0.73831588,
99,1,0.14891129,0.191757195,1.287727714,
100,1,0.739297941,0.462068264,0.625009537,
116,1,42,41.22242033,0.981486198,
118,1,0.201141382,0.171551572,0.852890491,
121,1,2,1.825634062,0.912817031,
122,1,6,6.191693664,1.031948944,
125,1,4,2.647787273,0.661946818,
127,1,1.415197407,1.000110048,0.706692962,
128,1,2,1.933812499,0.96690625,
129,1,14,16.60214758,1.185867684,
130,1,0.032096079,0.019979809,0.622500002,
131,1,7,7.119215846,1.017030835,
132,1,0.381737452,0.303973458,0.796289325,
135,1,23270,27239.5169,1.17058517,
146,1,0.021383205,0.01476136,0.690324962,
148,1,1,0.603476167,0.603476167,
149,1,0.00393129,0.003576687,0.909799993,
151,1,20,13.60879993,0.680439997,
154,1,0.89743198,0.929126887,1.035317337,
161,1,456,352.0150287,0.771962782,
163,1,3,0.983347923,0.327782641,
172,1,3,3.075586021,1.02519534,
173,1,0.133750214,0.103990509,0.777497888,
184,1,17,12.96645391,0.762732583,
