fid,DN,_count,_sum,_mean
1,1,0,0,
2,1,0,0,
3,1,0,0,
4,1,0,0,
5,1,0,0,
6,1,0,0,
7,1,0,0,
8,1,0.999999999999207,0.689317882060458,0.689317882061005
9,1,0,0,
10,1,0,0,
11,1,0.999999999999207,0.805498957633333,0.805498957633972
12,1,0,0,
13,1,7,5.45351791381836,0.779073987688337
14,1,0,0,
15,1,0,0,
16,1,0,0,
17,1,0,0,
18,1,0,0,
19,1,0.212122985399854,0.174398579691207,0.822157859802246
20,1,11,11.6705574393272,1.06095976721157
21,1,2,1.689976811409,0.844988405704498
22,1,0,0,
23,1,0,0,
24,1,0,0,
25,1,0,0,
26,1,0,0,
27,1,0,0,
28,1,0,0,
29,1,0,0,
30,1,0,0,
31,1,0.786151052527911,1.02100609844932,1.29874035678795
32,1,1.28891047080846,1.67888306939451,1.30255988093684
33,1,5,7.50990533828735,1.50198106765747
34,1,0,0,
35,1,0,0,
36,1,0,0,
37,1,0,0,
38,1,0,0,
39,1,0,0,
40,1,0,0,
41,1,0,0,
42,1,0,0,
43,1,0,0,
44,1,0,0,
45,1,0,0,
46,1,0,0,
47,1,0,0,
48,1,0,0,
49,1,0,0,
50,1,0,0,
51,1,0,0,
52,1,0,0,
53,1,0.531975548804552,0.64604496510085,1.21442605125862
54,1,0,0,
55,1,0,0,
56,1,0,0,
57,1,0,0,
58,1,0.827377460268462,1.63110437131078,1.9714150428772
59,1,0,0,
60,1,8,9.6519740819931,1.20649676024914
61,1,0,0,
62,1,1.01683198511665,1.12207178997952,1.10349773256867
63,1,0.205194315263733,0.208821842806441,1.0176784992218
64,1,0,0,
65,1,0,0,
66,1,0.229366840972192,0.258570139676042,1.12732136249542
67,1,8,15.3214634656906,1.91518293321133
68,1,0,0,
69,1,0,0,
70,1,0,0,
71,1,5,4.20573675632477,0.841147351264954
72,1,0,0,
73,1,0,0,
74,1,0,0,
75,1,0,0,
76,1,0,0,
77,1,0,0,
78,1,0,0,
79,1,0,0,
80,1,0,0,
81,1,0,0,
82,1,0,0,
83,1,0,0,
84,1,0,0,
85,1,0,0,
86,1,0,0,
87,1,0,0,
88,1,0,0,
89,1,0,0,
90,1,0,0,
91,1,0,0,
92,1,0,0,
93,1,0,0,
94,1,0,0,
95,1,3,2.1858035326004,0.728601177533468
96,1,0,0,
97,1,0,0,
98,1,0,0,
99,1,0,0,
100,1,0.739297941163536,0.455988401911818,0.616785705089569
101,1,0,0,
102,1,0,0,
103,1,0,0,
104,1,0,0,
105,1,0,0,
106,1,0,0,
107,1,0,0,
108,1,0,0,
109,1,0,0,
110,1,0,0,
111,1,0,0,
112,1,0,0,
113,1,0,0,
114,1,0,0,
115,1,0,0,
116,1,41,39.4440198540688,0.962049264733384
117,1,0,0,
118,1,0.201141382370416,0.169484687641618,0.842614710330963
119,1,0,0,
120,1,0,0,
121,1,0,0,
122,1,0,0,
123,1,0,0,
124,1,0,0,
125,1,4,2.61588627099991,0.653971567749977
126,1,0,0,
127,1,1.41519740735395,0.988060519816043,0.69817858249434
128,1,2,1.91051363945007,0.955256819725037
129,1,12,13.8663727641106,1.15553106367588
130,1,0.0320960789792122,0.0197390869652322,0.614999949932098
131,1,7,7.03344225883484,1.00477746554783
132,1,0,0,
133,1,0,0,
134,1,0,0,
135,1,22639,29825.5031025559,1.31743906985979
136,1,0,0,
137,1,0,0,
138,1,0,0,
139,1,0,0,
140,1,0,0,
141,1,0,0,
142,1,0,0,
143,1,0,0,
144,1,0,0,
145,1,0,0,
146,1,0.0213832049478452,0.0157083153636907,0.734609961509705
147,1,0,0,
148,1,0.999999999999207,0.595535695552354,0.595535695552826
149,1,0.00393128975142715,0.00357668738847948,0.909799993038177
150,1,0,0,
151,1,20,13.6087999343872,0.68043999671936
152,1,0,0,
153,1,0,0,
154,1,0.897431979772295,0.981645470058608,1.09383829881757
155,1,0,0,
156,1,0,0,
157,1,0,0,
158,1,0,0,
159,1,0,0,
160,1,0,0,
161,1,456,425.065459161997,0.932161094653502
162,1,0,0,
163,1,3,1.02411252260208,0.34137084086736
164,1,0,0,
165,1,0,0,
166,1,0,0,
167,1,0,0,
168,1,0,0,
169,1,0,0,
170,1,0,0,
171,1,0,0,
172,1,3,6.12054133415222,2.04018044471741
173,1,0,0,
174,1,0,0,
175,1,0,0,
176,1,0,0,
177,1,0,0,
178,1,0,0,
179,1,0,0,
180,1,0,0,
181,1,0,0,
182,1,0,0,
183,1,0,0,
184,1,17,25.803771674633,1.51786892203724
