fid,DN,_count,_sum,_mean,
1,1,0.558123743,0.179753518,0.322067499,1.052895561
2,1,2342,940.7424825,0.401683383,
3,1,17,5.160130098,0.303537065,
4,1,11,8.069414735,0.733583158,
8,1,91,73.77725485,0.810739064,
10,1,102,96.28137358,0.943935035,
11,1,24,21.1724292,0.88218455,
12,1,18,14.12447917,0.784693287,
13,1,39,32.65698475,0.837358583,
14,1,100,113.1079525,1.131079525,
15,1,2,2.332298279,1.166149139,
16,1,5,6.067183495,1.213436699,
18,1,92,79.75275028,0.86687772,
19,1,0.293795958,0.259220802,0.882315755,
20,1,75,80.02522945,1.067003059,
21,1,120,114.0446652,0.95037221,
22,1,6,7.165972233,1.194328705,
24,1,16,15.18417221,0.949010763,
25,1,1.307670194,1.024615073,0.783542423,
26,1,5,4.255494773,0.851098955,
27,1,24,25.99756792,1.083231997,
28,1,2,2.643514991,1.321757495,
29,1,3,3.02174741,1.007249137,
30,1,2,2.034394979,1.01719749,
32,1,0.761329588,1.066662885,1.401052713,
34,1,2,1.931699991,0.965849996,
35,1,3,4.747704864,1.582568288,
37,1,3,3.132667422,1.044222474,
38,1,4,4.633431435,1.158357859,
39,1,2,2.940040588,1.470020294,
40,1,2,2.483950138,1.241975069,
41,1,1.936575829,2.405178898,1.241975069,
42,1,32,41.03983283,1.282494776,
43,1,195,228.8404252,1.173540642,
44,1,2,1.509405017,0.754702508,
45,1,13,10.98225504,0.844788849,
46,1,0.355529457,0.20954196,0.589380026,
47,1,3,3.527937412,1.175979137,
48,1,2,2.622717619,1.311358809,
49,1,82,78.18765461,0.953507983,
51,1,2,2.201714993,1.100857496,
52,1,2,2.04027009,1.020135045,
53,1,1.298802429,1.561983156,1.202633381,
54,1,0.132470232,0.175571118,1.325362802,
55,1,0.457617983,0.566838209,1.238671184,
56,1,4,3.988889933,0.997222483,
57,1,12,12.10108995,1.008424163,
58,1,0.574817221,1.133203316,1.971415043,
59,1,3,4.38580513,1.461935043,
60,1,14,17.61529803,1.258235574,
61,1,1.902748155,3.058599984,1.607464433,
62,1,0.919743843,1.467011784,1.59502213,
63,1,3,3.462568402,1.154189467,
66,1,2,3.252799749,1.626399875,
67,1,8,17.11690199,2.139612749,
70,1,1.379131934,1.313292272,0.95226007,
71,1,43,55.1844635,1.283359616,
72,1,2,3.574041367,1.787020683,
95,1,146,157.3050582,1.077431906,
97,1,0.697837611,1.049307601,1.503655842,
100,1,7,6.380264759,0.911466394,
101,1,0.393434453,0.368694763,0.937118649,
103,1,1.706632103,2.312726159,1.355140428,
104,1,0.025784774,0.020124535,0.780481339,
106,1,13,11.72898996,0.902229997,
107,1,2,1.909229577,0.954614788,
108,1,0.953729215,0.952849853,0.999077976,
109,1,12,13.61520731,1.13460061,
110,1,3,4.229335785,1.409778595,
111,1,0.96743063,1.376501921,1.422843021,
113,1,2,2.137789965,1.068894982,
114,1,2,2.012328386,1.006164193,
115,1,6,5.969101548,0.994850258,
116,1,100,102.7838966,1.027838966,
117,1,1.724209252,2.865601755,1.661980268,
118,1,3,2.712808371,0.904269457,
119,1,0.92082277,0.88859837,0.965004775,
120,1,6,6.688515425,1.114752571,
123,1,6,10.27041483,1.711735805,
124,1,0.983476163,0.888949065,0.903884709,
125,1,2.600301629,1.846315438,0.71003895,
126,1,2,2.069644988,1.034822494,
127,1,3,2.305599988,0.768533329,
128,1,3,2.652320027,0.884106676,
129,1,22,26.09394538,1.186088427,
130,1,4,3.409027398,0.852256849,
131,1,32,30.3392505,0.948101578,
134,1,44,41.22670794,0.936970635,
135,1,44700,73116.00523,1.635704815,
137,1,3,2.668425143,0.889475048,
138,1,4,2.602206469,0.650551617,
139,1,16,11.24371356,0.702732097,
140,1,2,1.411762476,0.705881238,
142,1,4,2.846320033,0.711580008,
144,1,43,38.83979952,0.903251152,
145,1,19,14.7822578,0.778013568,
146,1,7,5.150024772,0.735717825,
147,1,2,1.654481292,0.827240646,
148,1,40,35.09190428,0.877297607,
149,1,2,1.819599986,0.909799993,
151,1,28,20.91030002,0.746796429,
153,1,10,5.219499946,0.521949995,
154,1,36,45.54096007,1.265026669,
156,1,9,8.845400095,0.982822233,
157,1,3,3.155392528,1.051797509,
158,1,33,39.03498435,1.182878314,
159,1,0.613922403,0.580549561,0.945639968,
160,1,2,0.748475015,0.374237508,
161,1,108,118.649242,1.098604092,
162,1,0.626428675,0.136611565,0.218079999,
163,1,894,323.5266772,0.361886664,
172,1,110,209.6370076,1.905790978,
173,1,0.989153663,1.254538576,1.26829493,
184,1,150,192.582027,1.28388018,
