fid,DN,_count,_sum,_mean
1,1,0,0,
2,1,0,0,
3,1,0,0,
4,1,0,0,
5,1,0,0,
6,1,0,0,
7,1,0,0,
8,1,0.999999999999207,0.781787037848806,0.781787037849426
9,1,0,0,
10,1,0,0,
11,1,0.999999999999207,0.913553297518959,0.913553297519684
12,1,0.675324903738405,0.557898858744872,0.826119184494019
13,1,7,6.18508464097977,0.883583520139967
14,1,0,0,
15,1,0,0,
16,1,0,0,
17,1,0,0,
18,1,0,0,
19,1,0.212122985399854,0.202763635921415,0.955877721309662
20,1,11,12.127219080925,1.10247446190227
21,1,2,1.91668021678925,0.958340108394623
22,1,0,0,
23,1,0,0,
24,1,0,0,
25,1,0,0,
26,1,0,0,
27,1,0,0,
28,1,0,0,
29,1,0,0,
30,1,0,0,
31,1,0.786151052527911,1.15796982746869,1.47296098344609
32,1,1.28891047080846,1.90409829897177,1.4772929090858
33,1,5,8.51732766628265,1.70346553325653
34,1,0,0,
35,1,0,0,
36,1,0,0,
37,1,0,0,
38,1,0,0,
39,1,0,0,
40,1,0,0,
41,1,0,0,
42,1,0,0,
43,1,0,0,
44,1,0,0,
45,1,0,0,
46,1,0,0,
47,1,0,0,
48,1,0,0,
49,1,0,0,
50,1,0,0,
51,1,0,0,
52,1,0,0,
53,1,0.531975548804552,0.33858693200497,0.636470854282379
54,1,0,0,
55,1,0,0,
56,1,0,0,
57,1,0,0,
58,1,0.827377460268462,1.412274653389,1.70692908763886
59,1,0,0,
60,1,8,9.57787811756134,1.19723476469517
61,1,0,0,
62,1,1.01683198511665,1.23677212356674,1.21629939033129
63,1,0.205194315263733,0.228956580000061,1.11580371856689
64,1,0,0,
65,1,0,0,
66,1,0.229366840972192,0.283972405457288,1.23807087482064
67,1,8,8.10859358310699,1.01357419788837
68,1,0,0,
69,1,0,0,
70,1,0,0,
71,1,5,4.76991903781891,0.953983807563782
72,1,0,0,
73,1,0,0,
74,1,0,0,
75,1,0,0,
76,1,0.438626621732412,0.551380236450129,1.25706058212422
77,1,0,0,
78,1,0,0,
79,1,7,9.17391741275787,1.31055963039398
80,1,0,0,
81,1,0.629363991171899,0.67782863354657,1.07700574398041
82,1,0,0,
83,1,0,0,
84,1,0,0,
85,1,0,0,
86,1,0,0,
87,1,0.428246520142096,0.621010669730307,1.45012426376343
88,1,0.147313091988231,0.143385642230451,0.973339438438416
89,1,0.00260936456391058,0.00338299254706425,1.2964813709259
90,1,0.224603663292694,0.266400425063945,1.18609118461609
91,1,0.772986025629786,1.00216198221507,1.2964813709259
92,1,0,0,
93,1,0,0,
94,1,0.035748406757574,0.0444170568593756,1.24249053001404
95,1,3,2.40924048423767,0.803080161412557
96,1,0,0,
97,1,0,0,
98,1,0,0,
99,1,0.148911289779654,0.167730746883425,1.12638032436371
100,1,0.739297941163536,0.502600411394772,0.679834723472595
101,1,0,0,
102,1,0,0,
103,1,0,0,
104,1,0,0,
105,1,0,0,
106,1,0,0,
107,1,0,0,
108,1,0,0,
109,1,0,0,
110,1,0,0,
111,1,0,0,
112,1,0,0,
113,1,0,0,
114,1,0,0,
115,1,0,0,
116,1,42,46.4536835551262,1.10604008464586
117,1,0,0,
118,1,0.201141382370416,0.19222036078698,0.955648005008698
119,1,0,0,
120,1,0,0,
121,1,2,1.87101149559021,0.935505747795105
122,1,6,6.08419954776764,1.01403325796127
123,1,0,0,
124,1,0,0,
125,1,4,2.96679645776749,0.741699114441872
126,1,0,0,
127,1,1.41519740735395,1.12060477085657,0.791836365042393
128,1,2,1.81095385551453,0.905476927757263
129,1,14,18.5610812902451,1.32579152073179
130,1,0.0320960789792122,0.0223870052165315,0.697499692440033
131,1,7,7.3813579082489,1.05447970117841
132,1,0.381737451588053,0.298696165080705,0.782464921474457
133,1,0,0,
134,1,0,0,
135,1,23281,29930.2547049373,1.28560863815718
136,1,0,0,
137,1,0,0,
138,1,0,0,
139,1,0,0,
140,1,0,0,
141,1,0,0,
142,1,0,0,
143,1,0,0,
144,1,0,0,
145,1,0,0,
146,1,0.0213832049478452,0.0121890167785763,0.570027589797974
147,1,0,0,
148,1,0.999999999999207,0.656412482261137,0.656412482261658
149,1,0.00393128975142715,0.00357668738847948,0.909799993038177
150,1,0,0,
151,1,20,13.6087999343872,0.68043999671936
152,1,0,0,
153,1,0,0,
154,1,0.897431979772295,0.871328121533819,0.970912716699599
155,1,0,0,
156,1,0,0,
157,1,0,0,
158,1,0,0,
159,1,0,0,
160,1,0,0,
161,1,459,381.761349499226,0.831724072983062
162,1,0,0,
163,1,3,0.933391511440277,0.311130503813426
164,1,0,0,
165,1,0,0,
166,1,0,0,
167,1,0,0,
168,1,0,0,
169,1,0,0,
170,1,0,0,
171,1,0,0,
172,1,3,3.23918026685715,1.07972675561905
173,1,0.133750214272783,0.102185123652405,0.763999700546265
174,1,0,0,
175,1,0,0,
176,1,0,0,
177,1,0,0,
178,1,0,0,
179,1,0,0,
180,1,0,0,
181,1,0,0,
182,1,0,0,
183,1,0,0,
184,1,17,13.3242091238499,0.783777007285286
