fid,DN,_count,_sum,_mean,
1,1,0.558123743,0.155637707,0.278858781,0.928450728
2,1,2400,841.4366704,0.350598613,
3,1,17,4.630927667,0.27240751,
4,1,11,8.563320994,0.778483727,
5,1,0.430704741,0.166884809,0.387469172,
6,1,0.247158801,0.183496481,0.742423415,
7,1,2,2.161036253,1.080518126,
8,1,111,96.32701454,0.867810942,
9,1,9,8.833815694,0.981535077,
10,1,102,87.92553782,0.862015077,
11,1,34,32.09996164,0.944116519,
12,1,33,27.2967118,0.827173085,
13,1,39,34.51248056,0.884935399,
14,1,100,87.50291222,0.875029122,
15,1,2,1.781859756,0.890929878,
16,1,5,6.411906958,1.282381392,
18,1,92,61.07080956,0.663813147,
19,1,2,1.869807124,0.934903562,
20,1,75,79.17839617,1.055711949,
21,1,189,185.8518077,0.983342898,
22,1,6,6.249854922,1.041642487,
23,1,2,2.520005226,1.260002613,
24,1,16,14.39749622,0.899843514,
25,1,1.903446991,1.578871858,0.82948034,
26,1,5,4.104528785,0.820905757,
27,1,24,24.37659246,1.015691352,
28,1,2,2.288859844,1.144429922,
29,1,4,3.859971046,0.964992762,
30,1,2,1.761459589,0.880729795,
32,1,0.761329588,1.127268242,1.480657339,
34,1,3,2.44054836,0.81351612,
35,1,3,4.110750556,1.370250185,
37,1,3,2.712387443,0.904129148,
38,1,4,4.896692276,1.224173069,
39,1,2,2.246170521,1.12308526,
40,1,2,2.150702238,1.075351119,
41,1,1.936575829,2.082498984,1.075351119,
42,1,32,34.33186245,1.072870702,
43,1,195,196.338764,1.006865456,
44,1,2,1.306902528,0.653451264,
45,1,13,9.508870602,0.731451585,
46,1,0.355529457,0.181429726,0.510308564,
47,1,3,2.982191741,0.994063914,
48,1,2,2.270852566,1.135426283,
49,1,82,75.55878538,0.921448602,
50,1,10,12.21707106,1.221707106,
51,1,2,1.906331897,0.953165948,
52,1,2,1.766546488,0.883273244,
53,1,1.298802429,0.826649891,0.636470854,
54,1,0.132470232,0.134135117,1.012567997,
55,1,0.457617983,0.433060468,0.94633621,
56,1,4,3.453738689,0.863434672,
57,1,12,10.47760236,0.87313353,
58,1,0.574817221,0.981172234,1.706929088,
59,1,3,3.797403216,1.265801072,
60,1,14,17.42227769,1.244448406,
61,1,1.902748155,2.336749248,1.228091717,
62,1,0.919743843,1.115554514,1.212896963,
63,1,3,3.659303784,1.219767928,
64,1,2,1.803372502,0.901686251,
66,1,2,2.47857666,1.23928833,
67,1,8,9.058795333,1.132349417,
70,1,1.379131934,1.387910541,1.006365314,
71,1,43,47.33816129,1.100887472,
72,1,2,1.891493559,0.945746779,
75,1,5,3.979863405,0.795972681,
76,1,0.661608594,0.818907849,1.237752738,
77,1,11,7.16020149,0.650927408,
78,1,2,2.641735077,1.320867538,
79,1,95,116.5881828,1.22724403,
80,1,5,3.828227639,0.765645528,
81,1,18,20.88520074,1.16028893,
82,1,10,11.46952897,1.146952897,
83,1,2,1.801164746,0.900582373,
87,1,2,2.221048594,1.110524297,
88,1,15,17.91129243,1.194086162,
89,1,0.217633627,0.282157943,1.296481371,
90,1,1.711972165,2.030230415,1.185901533,
91,1,4,5.312371969,1.328092992,
94,1,11,18.64187348,1.694715771,
95,1,146,119.6503178,0.819522725,
96,1,2.426722634,2.336715263,0.962909906,
97,1,0.697837611,0.801663745,1.148782657,
98,1,0.295131999,0.32260404,1.093083912,
99,1,1.832329714,2.111394233,1.152300384,
100,1,7,4.984011233,0.712001605,
101,1,0.393434453,0.281680245,0.715952158,
102,1,0.615073984,0.778297055,1.265371442,
103,1,1.706632103,1.614367058,0.945937356,
104,1,0.025784774,0.015375006,0.596282363,
106,1,13,9.005743206,0.692749477,
107,1,2,2.017707646,1.008853823,
108,1,0.953729215,0.72797071,0.763288677,
109,1,12,10.40192384,0.866826986,
110,1,3,3.231183171,1.077061057,
111,1,0.96743063,1.051637911,1.087042189,
113,1,2,1.633256674,0.816628337,
114,1,2,2.1266644,1.0633322,
115,1,6,4.64754349,0.774590582,
116,1,104,111.7307069,1.07433372,
117,1,1.724209252,2.189299865,1.269741397,
118,1,3,2.866944015,0.955648005,
119,1,0.92082277,0.672087312,0.729876946,
120,1,6,5.109979272,0.851663212,
122,1,3,2.627384245,0.875794748,
123,1,6,8.646707416,1.441117903,
124,1,0.983476163,0.679150924,0.690561652,
125,1,2.600301629,1.951218891,0.750381752,
126,1,2,1.791980505,0.895990252,
127,1,3,2.436599016,0.812199672,
128,1,3,2.370324194,0.790108065,
129,1,25,30.98826349,1.23953054,
130,1,4,3.602720559,0.90068014,
131,1,32,31.00657803,0.968955563,
132,1,6,4.67451787,0.779086312,
133,1,1.604832476,1.158127459,0.721650064,
134,1,44,34.6028831,0.786429161,
135,1,45457,59820.73515,1.31598511,
137,1,3,2.310428023,0.770142674,
138,1,4,3.04491663,0.761229157,
139,1,16,11.88255578,0.742659736,
140,1,2,1.222359836,0.611179918,
142,1,4,2.464456439,0.61611411,
144,1,48,39.90329975,0.831318745,
145,1,19,11.2935425,0.594396974,
146,1,7,4.459095061,0.63701358,
147,1,2,1.264012337,0.632006168,
148,1,40,26.80997205,0.670249301,
149,1,2,1.819599986,0.909799993,
150,1,7,8.564965606,1.223566515,
151,1,26,18.95469999,0.729026923,
153,1,10,5.219499946,0.521949995,
154,1,36,37.1936785,1.033157736,
156,1,9,8.845400095,0.982822233,
157,1,3,1.669931591,0.556643864,
158,1,33,20.65852404,0.62601588,
159,1,2.073120487,2.002161736,0.965772008,
160,1,2,0.648059249,0.324029624,
161,1,110,84.63882083,0.769443826,
162,1,0.626428675,0.118283693,0.188822284,
163,1,894,303.9220811,0.339957585,
172,1,101,99.52210504,0.985367377,
173,1,3,2.834515989,0.944838663,
176,1,0.517582753,0.568970651,1.09928441,
184,1,139,89.14542332,0.641333981,
