hhid,round,gps_latitude,gps_longitude
1044,6,2.3,38
1036,6,2.3,38
2017,6,2.3,38.099998
3036,6,2.3,38
4034,6,2.7,38.099998
4077,6,2.7,38.099998
4098,6,2.7,38.099998
4002,6,2.7,38.099998
4013,6,3.2,38.299999
4014,6,2.9000001,38.200001
4019,6,2.9000001,38.299999
4031,6,2.7,38.099998
4051,6,3,38.200001
4057,6,2.9000001,38.299999
4058,6,2.7,38.099998
4060,6,2.9000001,38.200001
4082,6,2.5999999,38.200001
4084,6,2.9000001,38.200001
4091,6,2.7,38.099998
5067,6,3.3,37.299999
5076,6,3.3,37.299999
5083,6,3.3,37.299999
5092,6,3.3,37.299999
5095,6,3.3,37.299999
5103,6,3.3,37.299999
5104,6,3.3,37.299999
5001,6,3.4000001,37.299999
5002,6,3.4000001,37.299999
5019,6,3.4000001,37.299999
5020,6,3.4000001,37.299999
5024,6,3.4000001,37.299999
5057,6,3.3,37.299999
5082,6,3.3,37.299999
5084,6,3.4000001,37.299999
5093,6,3.3,37.700001
6043,6,3.2,37.400002
6006,6,3.0999999,37.400002
6119,6,3.0999999,37.400002
6129,6,3.0999999,37.400002
6002,6,3.0999999,37.400002
6004,6,2.3,38
6010,6,2.3,38
6040,6,3.2,37.400002
6042,6,3.2,37.200001
6050,6,3.0999999,37.400002
6056,6,3,37.299999
6058,6,3,37
6059,6,3.0999999,37.400002
6066,6,3.3,38.400002
6067,6,3.2,37.400002
6069,6,3.2,37.400002
6070,6,3.2,37.400002
6071,6,3.2,37.400002
6072,6,3.2,37.299999
6074,6,3.2,37.200001
6076,6,3.2,37.200001
6077,6,3.2,37.200001
6099,6,2.3,38
6107,6,3.2,37.400002
6108,6,3.4000001,37.799999
6109,6,3,37.299999
7046,6,3.3,38.400002
7002,6,3.3,38.400002
7004,6,3.3,38.400002
7007,6,3.3,38.400002
7031,6,3.3,38.400002
7041,6,2.7,38.099998
8041,6,2.0999999,37.900002
8058,6,2.2,37.900002
8065,6,2.2,37.900002
8006,6,2.3,37.900002
9105,6,2.5,37.5
9109,6,2.5,37.5
9110,6,2.5,37.5
9117,6,2.5,37.5
9119,6,2.5,37.599998
9120,6,2.5,37.599998
9121,6,2.5,37.5
9123,6,2.5,37.599998
9125,6,2.5,37.5
9128,6,2.5,37.599998
9129,6,2.5,37.5
9130,6,2.5,37.5
9131,6,2.5,37.5
9132,6,2.5,37.599998
9133,6,2.5,37.599998
9134,6,2.5,37.599998
9140,6,2.5,37.599998
9088,6,2.5,37.599998
9091,6,2.5,37.599998
10012,6,2.5999999,37.5
10039,6,2.5999999,37.5
10043,6,2.5999999,37.5
13031,6,1.6,37.700001
13033,6,1.6,37.700001
13006,6,1.6,37.700001
13019,6,1.6,37.700001
13026,6,1.6,37.700001
14053,6,2.8,36.700001
14133,6,2.5999999,36.700001
14030,6,2.5,36.799999
14033,6,2.5,36.799999
14050,6,2.8,36.700001
14051,6,2.5,36.799999
14056,6,2.8,36.700001
14057,6,2.5,36.799999
14060,6,2.5,36.799999
14061,6,2.5,36.799999
14076,6,2.8,36.700001
14077,6,2.8,36.900002
14095,6,2.4000001,36.799999
14120,6,2.5,36.799999
15058,6,1.7,38.299999
16001,6,2.0999999,36.900002
16060,6,2.0999999,36.900002
16061,6,2.0999999,36.900002
