,gps.latd,gps.longtd,local.farm,is.agpastoral,is.smallholder
28,-0.06446239,35.26871334,1,1,0
30,-0.06871683,35.27169609,1,1,0
31,-0.0657245,35.27220516,1,1,0
35,-0.07008563,35.27296602,1,1,0
36,-0.0317899,35.0276467,1,1,0
37,-0.03921759,35.02210511,1,1,0
44,-0.041598,35.0209473,1,1,0
45,-0.0433365,35.0227198,1,1,0
48,-0.0394927,35.0215054,1,1,0
49,-0.0384766,35.0212556,1,1,0
53,-0.0059356,35.04772984,1,0,1
55,-0.01140697,35.05778102,1,0,1
60,-0.01666636,35.05702776,1,1,0
61,-0.01706264,35.05611145,1,1,0
63,-0.01704463,35.04938321,1,0,1
69,0.2323351,35.2729167,1,1,0
72,0.03967927,35.19734398,1,1,0
73,0.03828507,35.19933722,1,1,0
80,-0.035485,35.2459437,1,1,0
82,-0.0400994,35.2595836,1,1,0
83,-0.0392807,35.261608,1,1,0
84,0.02965827,35.19279862,1,0,1
87,0.0085771,35.1303695,1,0,1
89,0.01382098,35.13284959,1,1,0
93,0.01624646,35.1358996,1,0,1
94,0.01875143,35.13232009,1,1,0
103,0.00998172,35.12394519,1,1,0
193,0.26767035,35.22066682,1,1,0
196,0.2505911,35.1974938,1,1,0
218,0.3951496,35.0774353,1,0,1
246,0.2255983,35.2539066,1,1,0
260,0.23089839,35.24656873,1,1,0
268,0.11236123,34.90166113,1,1,0
272,0.1148981,34.8987474,1,0,1
317,0.20175941,34.9565353,1,1,0
327,0.20391658,34.95473164,1,1,0
328,0.20390008,34.95747143,1,0,1
354,-0.95600035,35.31442644,1,1,0
355,-0.95494168,35.31075936,1,0,1
356,-0.95492103,35.31758314,1,0,1
357,-0.95880219,35.3163011,1,1,0
358,-0.95603746,35.31605517,1,0,1
361,-0.85537034,35.29070387,1,0,1
362,-0.86217819,35.29128761,1,0,1
364,-0.95865032,35.32135203,1,1,0
367,-0.85988644,35.29591792,1,0,1
372,-0.7924577,35.32969113,1,0,1
373,-0.79265708,35.32697563,1,1,0
411,-0.99177942,35.25288946,1,1,0
412,-0.98970277,35.25193333,1,1,0
416,-0.99532062,35.25808495,1,1,0
420,-0.99792382,35.25726013,1,1,0
423,-0.84132904,35.45080653,1,1,0
434,-0.84158204,35.4535554,1,1,0
457,-0.93549989,35.1332476,1,1,0
458,-0.80913142,35.0963618,1,1,0
474,-0.81636391,35.09370135,1,1,0
477,-0.92175058,35.36183335,1,1,0
478,-0.92896202,35.36647237,1,1,0
479,-0.929299,35.36673667,1,1,0
486,-0.77680725,35.15400999,1,1,0
493,-0.81528371,35.0926185,1,1,0
497,-0.715548,35.3739153,1,1,0
500,-0.87392393,35.13561698,1,1,0
521,-0.88876845,35.04841599,1,0,1
538,-0.69020097,35.18962917,1,1,0
540,-0.677918,35.06920611,1,1,0
541,-0.67432197,35.07368229,1,1,0
546,-0.86157202,35.41405313,1,1,0
555,-0.85685817,35.4119705,1,1,0
563,-0.66850363,35.32932157,1,1,0
564,-0.66644503,35.32954062,1,1,0
590,-0.84975081,35.41695113,1,1,0
672,-0.90157815,35.40214738,1,1,0
677,-0.90640871,35.40674817,1,1,0
678,-0.91054891,35.40804346,1,1,0
679,-0.90586885,35.40863948,1,0,1
681,-0.90524967,35.40536488,1,1,0
741,-0.80618132,37.16462884,1,0,1
744,-0.80417914,37.16257796,1,1,0
763,-0.77108833,37.24665589,1,1,0
764,-0.77038795,37.24688921,1,0,1
765,-1.06466132,37.35031176,1,1,0
766,-1.06207966,37.35031126,1,1,0
767,-1.05862817,37.35097433,1,1,0
768,-1.05634299,37.35543587,1,1,0
773,-0.767041,37.2386493,1,1,0
774,-0.7663634,37.237577,1,1,0
777,-0.7710811,37.2431115,1,1,0
782,-1.06406422,37.3581179,1,1,0
783,-1.06422613,37.35398753,1,1,0
786,-0.7717628,37.24616443,1,1,0
787,-0.77404886,37.24540613,1,1,0
802,-0.7725567,37.24738433,1,1,0
804,-0.77317158,37.24783845,1,1,0
811,-0.9467287,37.1456678,1,1,0
812,-0.9489114,37.1489848,1,1,0
817,-0.9575651,37.1478264,1,1,0
818,-0.9528945,37.1477539,1,1,0
823,-0.94797678,37.15862695,1,1,0
849,-0.85855792,37.16971801,1,0,1
964,-0.94994149,37.28461408,1,0,1
968,-1.03183985,37.33035755,1,0,1
969,-0.97495211,37.3355499,1,1,0
973,-1.03472539,37.33908952,1,0,1
974,-1.03514011,37.34010529,1,0,1
975,-0.9667292,37.3361807,1,1,0
976,-1.0358086,37.3404539,1,1,0
1004,-0.69389141,37.21364421,1,1,0
1006,-0.7116456,37.214006,1,1,0
1007,-0.7047106,37.2148388,1,1,0
1010,-0.69797176,37.21476524,1,1,0
1011,-0.69742108,37.21619792,1,1,0
1016,-0.70232886,37.21279305,1,1,0
1017,-0.70329937,37.21113633,1,1,0
1022,-0.69268263,37.21583608,1,1,0
1023,-0.69301266,37.21584314,1,1,0
1031,-0.92888071,37.15665571,1,1,0
1034,-0.93119392,37.15126607,1,1,0
1035,-0.92899801,37.15361024,1,0,1
