fid,DN,_count,_sum,
1,1,4,0,27078.87724
2,1,5301,0,
3,1,40,0,
4,1,68,0,
5,1,5,0,
6,1,17,0,
7,1,2,0,
8,1,150,1,
9,1,9,0,
10,1,268,0,
11,1,39,1,
12,1,38,1,
13,1,55,7,
14,1,119,0,
15,1,2,0,
16,1,5,0,
17,1,2,0,
18,1,171,0,
19,1,2,0,
20,1,99,11,
21,1,378,4,
22,1,6,0,
23,1,2,0,
24,1,68,0,
25,1,1.936575829,0,
26,1,9,0,
27,1,187,0,
28,1,2,0,
29,1,73,0,
30,1,6,0,
31,1,2,1,
32,1,4,1,
33,1,6,5,
34,1,78,0,
35,1,3,0,
36,1,2,0,
37,1,5,0,
38,1,4,0,
39,1,2,0,
40,1,2,0,
41,1,1.936575829,0,
42,1,32,0,
43,1,221,0,
44,1,2,0,
45,1,14,0,
46,1,2,0,
47,1,4,0,
48,1,2,0,
49,1,133,0,
50,1,13,0,
51,1,2,0,
52,1,2,0,
53,1,1.936575829,0.531975549,
54,1,2,0,
55,1,2,0,
56,1,4,0,
57,1,12,0,
58,1,1.936575829,0.82737746,
59,1,3,0,
60,1,61,8,
61,1,1.936575829,0,
62,1,2,1,
63,1,3,0,
64,1,2,0,
65,1,2,0,
66,1,2,0,
67,1,22,8,
68,1,4,0,
69,1,11,0,
70,1,1.936575829,0,
71,1,66,5,
72,1,2,0,
73,1,2,0,
74,1,2,0,
75,1,15,0,
76,1,1.936575829,0.438626622,
77,1,96,0,
78,1,2,0,
79,1,142,7,
80,1,32,0,
81,1,22,1,
82,1,13,0,
83,1,6,0,
84,1,4,0,
85,1,1.936575829,0,
86,1,1.936575829,1.413566022,
87,1,2,0,
88,1,17,0,
89,1,1.936575829,0.002609365,
90,1,1.936575829,0.224603663,
91,1,13,1,
92,1,2,0,
93,1,2,0,
94,1,28,0,
95,1,292,3,
96,1,2,0,
97,1,1.936575829,0,
98,1,2,0,
99,1,3,0,
100,1,32,1,
101,1,1.936575829,0,
102,1,6,1,
103,1,7,0,
104,1,1.936575829,0,
105,1,1.936575829,0.438481582,
106,1,58,0,
107,1,6,0,
108,1,2,0,
109,1,19,0,
110,1,4,0,
111,1,2,0,
112,1,5,0,
113,1,2,0,
114,1,2,0,
115,1,11,0,
116,1,263,42,
117,1,1.936575829,0,
118,1,3,0,
119,1,1.936575829,0,
120,1,6,0,
121,1,2,2,
122,1,10,6,
123,1,9,0,
124,1,2,0,
125,1,7,4,
126,1,2,0,
127,1,7,0,
128,1,6,2,
129,1,106,14,
130,1,21,0,
131,1,82,7,
132,1,8,0,
133,1,1.936575829,0,
134,1,50,0,
135,1,204000,26221,
136,1,8,0,
137,1,5,0,
138,1,5,0,
139,1,22,0,
140,1,2,0,
141,1,17,0,
142,1,4,0,
143,1,9,0,
144,1,91,0,
145,1,22,0,
146,1,10,0,
147,1,2,0,
148,1,89,2,
149,1,2,0,
150,1,127,0,
151,1,3824,55,
152,1,1.936575829,0,
153,1,61,0,
154,1,246,1,
155,1,4,0,
156,1,30,0,
157,1,9,0,
158,1,107,0,
159,1,8,0,
160,1,2,0,
161,1,943,513,
162,1,2,0,
163,1,1422,3,
164,1,6,1,
165,1,772,24,
166,1,67,1,
167,1,5,0,
168,1,2,0,
169,1,6,0,
170,1,2,1,
171,1,4,0,
172,1,428,6,
173,1,16,0,
174,1,2,0,
175,1,10,0,
176,1,6,0,
177,1,2,0,
178,1,16,0,
179,1,6,0,
180,1,2,0,
181,1,14,0,
182,1,2,0,
183,1,10,0,
184,1,8920,102,
