fid,DN,_count,_sum,
1,1,4,3,64439.63668
2,1,5301,2674,
3,1,40,23,
4,1,68,1,
5,1,5,0,
6,1,17,0,
7,1,2,0,
8,1,150,0,
9,1,9,0,
10,1,268,4,
11,1,39,2,
12,1,38,2,
13,1,55,5,
14,1,119,2,
15,1,2,0,
16,1,5,0,
17,1,2,0,
18,1,171,16,
19,1,2,0,
20,1,99,1,
21,1,378,28,
22,1,6,0,
23,1,2,0,
24,1,68,2,
25,1,1.936575829,0,
26,1,9,1,
27,1,187,4,
28,1,2,0,
29,1,73,2,
30,1,6,2,
31,1,2,0,
32,1,4,0,
33,1,6,1,
34,1,78,2,
35,1,3,0,
36,1,2,2,
37,1,5,0,
38,1,4,0,
39,1,2,0,
40,1,2,0,
41,1,1.936575829,0,
42,1,32,0,
43,1,221,21,
44,1,2,0,
45,1,14,0,
46,1,2,2,
47,1,4,0,
48,1,2,0,
49,1,133,51,
50,1,13,0,
51,1,2,0,
52,1,2,0,
53,1,1.936575829,0.105797851,
54,1,2,2,
55,1,2,2,
56,1,4,0,
57,1,12,0,
58,1,1.936575829,0.205618155,
59,1,3,0,
60,1,61,35,
61,1,1.936575829,0.033827674,
62,1,2,0,
63,1,3,0,
64,1,2,0,
65,1,2,0,
66,1,2,0,
67,1,22,5,
68,1,4,0,
69,1,11,0,
70,1,1.936575829,0.557443895,
71,1,66,16,
72,1,2,0,
73,1,2,0,
74,1,2,0,
75,1,15,0,
76,1,1.936575829,0.836340613,
77,1,96,0,
78,1,2,0,
79,1,142,21,
80,1,32,0,
81,1,22,2,
82,1,13,0,
83,1,6,0,
84,1,4,0,
85,1,1.936575829,0,
86,1,1.936575829,0,
87,1,2,0,
88,1,17,2,
89,1,1.936575829,0.288086317,
90,1,1.936575829,0,
91,1,13,2,
92,1,2,0,
93,1,2,0,
94,1,28,1,
95,1,292,120,
96,1,2,0,
97,1,1.936575829,1.238738218,
98,1,2,0,
99,1,3,0,
100,1,32,18,
101,1,1.936575829,1.543141376,
102,1,6,0,
103,1,7,6,
104,1,1.936575829,1.910791054,
105,1,1.936575829,0,
106,1,58,38,
107,1,6,4,
108,1,2,1,
109,1,19,7,
110,1,4,1,
111,1,2,1,
112,1,5,5,
113,1,2,0,
114,1,2,0,
115,1,11,5,
116,1,263,37,
117,1,1.936575829,0,
118,1,3,0,
119,1,1.936575829,0.015753058,
120,1,6,0,
121,1,2,0,
122,1,10,0,
123,1,9,3,
124,1,2,1,
125,1,7,2,
126,1,2,0,
127,1,7,1,
128,1,6,0,
129,1,106,4,
130,1,21,8,
131,1,82,4,
132,1,8,2,
133,1,1.936575829,0.331743353,
134,1,50,6,
135,1,204000,55221,
136,1,8,7,
137,1,5,1,
138,1,5,1,
139,1,22,6,
140,1,2,0,
141,1,17,5,
142,1,4,0,
143,1,9,3,
144,1,91,22,
145,1,22,3,
146,1,10,2,
147,1,2,0,
148,1,89,25,
149,1,2,0,
150,1,127,0,
151,1,3824,1788,
152,1,1.936575829,0.569402771,
153,1,61,22,
154,1,246,129,
155,1,4,2,
156,1,30,7,
157,1,9,0,
158,1,107,12,
159,1,8,2,
160,1,2,0,
161,1,943,249,
162,1,2,1,
163,1,1422,507,
164,1,6,5,
165,1,772,245,
166,1,67,1,
167,1,5,0,
168,1,2,0,
169,1,6,1,
170,1,2,0,
171,1,4,1,
172,1,428,33,
173,1,16,1,
174,1,2,0,
175,1,10,2,
176,1,6,0,
177,1,2,0,
178,1,16,1,
179,1,6,0,
180,1,2,0,
181,1,14,0,
182,1,2,0,
183,1,10,0,
184,1,8920,2914,
